NE_ID,NE_Name,NE_Type,NE_Version,Release_Version,Board_Type,IP_Address,Subnet_Mask,Gateway,Configuration_Date,Location,Vendor,Admin_Contact,Status,Priority,Operational_State,Remarks
1001,NE_Z,Router,2.1,9.1.7,Type_H,192.168.1.152,255.255.255.0,192.168.1.4,26-12-2024,Birmingham,Ciena,contact31@company.com,Decommissioned,High,Testing,Traffic encryption
1002,NE_E,Gateway,3,5.6.3,Type_B,192.168.1.185,255.255.255.0,192.168.1.191,23-12-2024,Laredo,Riverbed,team91@company.com,Active,Low,Outage,Virtual machine provisioning
1003,NE_V,Hub,5,1.0.5,Type_X,192.168.1.34,255.255.255.0,192.168.1.137,08-03-2024,Lincoln,HP Enterprise,contact213@company.com,Suspended,High,Outage,Hardware installation
1004,NE_W,Hub,1,3.2.7,Type_U,192.168.1.83,255.255.255.0,192.168.1.91,11-04-2024,New Orleans,Avaya,user427@company.com,Suspended,Medium,Outage,Hardware installation
1005,NE_V,Firewall,1,6.0.0,Type_S,192.168.1.55,255.255.255.0,192.168.1.150,01-05-2024,Spokane,Juniper,user175@network.com,Suspended,High,Outage,License renewal
1006,NE_E,Gateway,2.1,3.7.0,Type_H,192.168.1.176,255.255.255.0,192.168.1.87,28-11-2024,Greensboro,Broadcom,admin282@network.com,Pending,Medium,Outage,Software patching
1007,NE_U,Switch,5,1.7.7,Type_X,192.168.1.145,255.255.255.0,192.168.1.33,28-04-2024,Garland,ZTE,admin53@domain.co,Decommissioned,High,Outage,User access setup
1008,NE_H,Gateway,2.1,7.5.5,Type_W,192.168.1.9,255.255.255.0,192.168.1.98,09-06-2024,St. Louis,Lenovo,admin333@provider.org,Pending,Low,Testing,Intrusion detection configuration
1009,NE_Y,Hub,4.5,5.1.8,Type_L,192.168.1.23,255.255.255.0,192.168.1.187,25-11-2024,Port St. Lucie,HP Enterprise,team403@company.com,Decommissioned,Medium,Outage,Backup verification
1010,NE_I,Switch,2.1,6.6.6,Type_O,192.168.1.182,255.255.255.0,192.168.1.161,07-04-2024,Fort Wayne,F5 Networks,admin141@network.com,Pending,Low,Maintenance,Resource allocation
1011,NE_X,Router,5,5.8.0,Type_P,192.168.1.109,255.255.255.0,192.168.1.148,04-07-2024,Des Moines,CommScope,team491@company.com,Pending,Medium,Outage,Initial configuration
1012,NE_W,Gateway,3,9.6.6,Type_B,192.168.1.179,255.255.255.0,192.168.1.208,01-08-2024,Kansas City,D-Link,support417@network.com,Decommissioned,Medium,Testing,System reboot
1013,NE_T,Firewall,2.1,3.0.0,Type_E,192.168.1.251,255.255.255.0,192.168.1.232,29-09-2024,Houston,Sophos,team58@provider.org,Pending,Medium,Outage,Account provisioning
1014,NE_H,Router,2.1,1.6.0,Type_R,192.168.1.166,255.255.255.0,192.168.1.69,24-07-2024,Toledo,Ruckus Wireless,admin250@domain.co,Pending,Low,Operational,DNS configuration
1015,NE_Y,Router,3,5.7.3,Type_S,192.168.1.32,255.255.255.0,192.168.1.169,02-09-2024,Columbus,Broadcom,admin78@service.net,Suspended,High,Testing,Firmware update
1016,NE_W,Router,2.1,4.7.9,Type_Z,192.168.1.93,255.255.255.0,192.168.1.207,09-05-2024,Denver,VMware,admin143@service.net,Suspended,Medium,Testing,Software upgrade
1017,NE_L,Firewall,1,7.0.3,Type_P,192.168.1.212,255.255.255.0,192.168.1.2,10-03-2024,London,Avaya,user411@network.com,Decommissioned,Medium,Maintenance,Load test completion
1018,NE_W,Gateway,5,3.9.5,Type_D,192.168.1.21,255.255.255.0,192.168.1.63,29-07-2024,Akron,Ciena,user235@service.net,Decommissioned,Medium,Operational,Firmware update
1019,NE_X,Hub,4.5,6.2.8,Type_N,192.168.1.237,255.255.255.0,192.168.1.180,19-02-2024,Bangalore,CommScope,admin258@provider.org,Pending,Medium,Testing,System upgrade
1020,NE_M,Gateway,5,7.3.5,Type_R,192.168.1.38,255.255.255.0,192.168.1.50,29-03-2024,Spokane,SonicWall,user109@provider.org,Decommissioned,Medium,Operational,Cluster expansion
1021,NE_A,Router,1,2.8.2,Type_I,192.168.1.227,255.255.255.0,192.168.1.237,28-04-2024,Yonkers,SonicWall,user438@provider.org,Active,High,Maintenance,Initial configuration
1022,NE_W,Gateway,1,1.8.9,Type_D,192.168.1.176,255.255.255.0,192.168.1.210,05-09-2024,Dallas,Brocade,team116@company.com,Inactive,High,Testing,Bandwidth adjustment
1023,NE_R,Switch,2.1,9.4.0,Type_Q,192.168.1.54,255.255.255.0,192.168.1.194,16-10-2024,Santa Ana,SolarWinds,contact167@company.com,Inactive,High,Testing,Policy enforcement
1024,NE_M,Firewall,3,8.6.1,Type_N,192.168.1.62,255.255.255.0,192.168.1.85,21-03-2024,Scottsdale,Huawei,admin150@network.com,Pending,Low,Outage,Configuration tuning
1025,NE_T,Router,1,4.5.3,Type_Y,192.168.1.215,255.255.255.0,192.168.1.17,14-04-2024,Gilbert,AWS,contact167@service.net,Pending,Medium,Testing,Security audit
1026,NE_N,Hub,1,9.8.3,Type_K,192.168.1.95,255.255.255.0,192.168.1.242,02-05-2024,Orlando,Google Cloud,support143@domain.co,Decommissioned,Low,Outage,Cluster expansion
1027,NE_W,Switch,3,4.5.5,Type_U,192.168.1.13,255.255.255.0,192.168.1.4,04-10-2024,Bakersfield,Samsung,team389@service.net,Suspended,Medium,Testing,Data migration
1028,NE_X,Switch,5,4.6.5,Type_I,192.168.1.132,255.255.255.0,192.168.1.201,06-05-2024,Overland Park,Netgear,user387@domain.co,Decommissioned,Medium,Outage,Endpoint protection update
1029,NE_S,Switch,2.1,4.4.7,Type_T,192.168.1.200,255.255.255.0,192.168.1.80,05-08-2024,Wichita,Alcatel-Lucent,contact64@provider.org,Inactive,Low,Testing,Service activation
1030,NE_F,Firewall,2.1,4.4.2,Type_S,192.168.1.147,255.255.255.0,192.168.1.178,11-05-2024,Mumbai,SonicWall,contact415@network.com,Inactive,Low,Maintenance,System maintenance
1031,NE_X,Firewall,4.5,6.4.3,Type_X,192.168.1.112,255.255.255.0,192.168.1.78,21-06-2024,Des Moines,Ruckus Wireless,support78@company.com,Active,Low,Maintenance,Resource allocation
1032,NE_R,Gateway,3,6.0.2,Type_Q,192.168.1.245,255.255.255.0,192.168.1.194,19-12-2024,Akron,Samsung,user44@network.com,Pending,Medium,Maintenance,Policy update
1033,NE_E,Gateway,4.5,6.0.0,Type_F,192.168.1.126,255.255.255.0,192.168.1.202,13-12-2024,Austin,Broadcom,team53@domain.co,Suspended,Low,Operational,VPN setup
1034,NE_O,Router,2.1,9.8.5,Type_J,192.168.1.254,255.255.255.0,192.168.1.19,08-01-2024,San Bernardino,AMD,support121@company.com,Decommissioned,Medium,Maintenance,System reboot
1035,NE_W,Gateway,2.1,4.7.5,Type_Q,192.168.1.114,255.255.255.0,192.168.1.10,17-06-2024,Huntington Beach,Juniper,team213@provider.org,Pending,Low,Outage,Backup verification
1036,NE_W,Switch,4.5,6.8.5,Type_J,192.168.1.96,255.255.255.0,192.168.1.200,27-07-2024,Norfolk,Citrix,support261@network.com,Pending,High,Outage,User authentication setup
1037,NE_T,Firewall,4.5,4.7.6,Type_C,192.168.1.140,255.255.255.0,192.168.1.235,04-10-2024,Indianapolis,HP Enterprise,user172@service.net,Inactive,High,Maintenance,Database indexing
1038,NE_X,Hub,2.1,9.5.6,Type_N,192.168.1.123,255.255.255.0,192.168.1.107,06-08-2024,Modesto,Extreme Networks,user333@network.com,Pending,Low,Maintenance,Resource scaling
1039,NE_N,Firewall,5,4.6.1,Type_H,192.168.1.141,255.255.255.0,192.168.1.216,09-06-2024,Spokane,Citrix,user231@provider.org,Active,High,Maintenance,Patch deployment
1040,NE_Z,Router,5,9.4.5,Type_C,192.168.1.158,255.255.255.0,192.168.1.240,14-03-2024,Pittsburgh,Apple,user246@company.com,Decommissioned,Low,Operational,Server migration
1041,NE_E,Hub,3,9.2.6,Type_A,192.168.1.233,255.255.255.0,192.168.1.221,07-07-2024,Stockton,Asus,contact349@provider.org,Inactive,Medium,Operational,Software upgrade
1042,NE_N,Switch,2.1,6.9.4,Type_W,192.168.1.254,255.255.255.0,192.168.1.18,13-03-2024,Charlotte,Fortinet,user377@domain.co,Active,High,Testing,Site inspection
1043,NE_L,Firewall,1,7.1.2,Type_A,192.168.1.16,255.255.255.0,192.168.1.224,02-02-2024,London,TP-Link,contact462@company.com,Active,Low,Outage,License renewal
1044,NE_K,Switch,3,7.0.8,Type_F,192.168.1.4,255.255.255.0,192.168.1.112,15-05-2024,Kansas City,Nokia,team82@domain.co,Suspended,Medium,Testing,IP address allocation
1045,NE_M,Gateway,4.5,1.9.5,Type_F,192.168.1.228,255.255.255.0,192.168.1.129,29-11-2024,Memphis,Infoblox,team6@service.net,Decommissioned,Medium,Testing,System reboot
1046,NE_X,Router,2.1,1.5.1,Type_J,192.168.1.47,255.255.255.0,192.168.1.244,10-09-2024,Albuquerque,F5 Networks,contact204@service.net,Pending,Medium,Testing,Compliance check
1047,NE_Y,Switch,4.5,6.9.0,Type_C,192.168.1.153,255.255.255.0,192.168.1.184,23-12-2024,Rochester,Barracuda,user62@provider.org,Inactive,High,Maintenance,Endpoint protection update
1048,NE_V,Gateway,1,3.1.7,Type_C,192.168.1.142,255.255.255.0,192.168.1.68,09-10-2024,Tampa,Dell,admin6@domain.co,Pending,High,Outage,User authentication setup
